3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
8.913E+01 2.038E-07 2.038E-07 9.115E-19 0.00E+00
8.810E+01 2.079E-07 2.079E-07 9.529E-19 0.00E+00
8.710E+01 2.121E-07 2.121E-07 9.962E-19 0.00E+00
8.610E+01 2.163E-07 2.163E-07 1.041E-18 0.00E+00
8.511E+01 2.207E-07 2.207E-07 1.089E-18 0.00E+00
8.414E+01 2.251E-07 2.251E-07 1.138E-18 0.00E+00
8.318E+01 2.297E-07 2.297E-07 1.190E-18 0.00E+00
8.222E+01 2.343E-07 2.343E-07 1.244E-18 0.00E+00
8.128E+01 2.391E-07 2.391E-07 1.300E-18 0.00E+00
8.035E+01 2.440E-07 2.440E-07 1.359E-18 0.00E+00
7.943E+01 2.489E-07 2.489E-07 1.421E-18 0.00E+00
7.852E+01 2.540E-07 2.540E-07 1.486E-18 0.00E+00
7.762E+01 2.592E-07 2.592E-07 1.553E-18 0.00E+00
7.674E+01 2.646E-07 2.646E-07 1.623E-18 0.00E+00
7.586E+01 2.700E-07 2.700E-07 1.697E-18 0.00E+00
7.499E+01 2.756E-07 2.756E-07 1.774E-18 0.00E+00
7.413E+01 2.813E-07 2.813E-07 1.855E-18 0.00E+00
7.328E+01 2.872E-07 2.872E-07 1.939E-18 0.00E+00
7.244E+01 2.932E-07 2.932E-07 2.027E-18 0.00E+00
7.161E+01 2.993E-07 2.993E-07 2.119E-18 0.00E+00
7.079E+01 3.057E-07 3.057E-07 2.215E-18 0.00E+00
6.998E+01 3.121E-07 3.121E-07 2.316E-18 0.00E+00
6.918E+01 3.188E-07 3.188E-07 2.421E-18 0.00E+00
6.839E+01 3.256E-07 3.256E-07 2.531E-18 0.00E+00
6.761E+01 3.325E-07 3.325E-07 2.646E-18 0.00E+00
6.683E+01 3.397E-07 3.397E-07 2.767E-18 0.00E+00
6.607E+01 3.471E-07 3.471E-07 2.893E-18 0.00E+00
6.531E+01 3.546E-07 3.546E-07 3.024E-18 0.00E+00
6.457E+01 3.624E-07 3.624E-07 3.162E-18 0.00E+00
6.383E+01 3.704E-07 3.704E-07 3.306E-18 0.00E+00
6.310E+01 3.786E-07 3.786E-07 3.456E-18 0.00E+00
6.237E+01 3.870E-07 3.870E-07 3.614E-18 0.00E+00
6.166E+01 3.957E-07 3.957E-07 3.778E-18 0.00E+00
6.095E+01 4.046E-07 4.046E-07 3.950E-18 0.00E+00
6.026E+01 4.138E-07 4.138E-07 4.130E-18 0.00E+00
5.957E+01 4.232E-07 4.232E-07 4.318E-18 0.00E+00
5.888E+01 4.329E-07 4.329E-07 4.515E-18 0.00E+00
5.821E+01 4.430E-07 4.430E-07 4.721E-18 0.00E+00
5.754E+01 4.533E-07 4.533E-07 4.937E-18 0.00E+00
5.689E+01 4.639E-07 4.639E-07 5.162E-18 0.00E+00
5.623E+01 4.749E-07 4.749E-07 5.398E-18 0.00E+00
5.559E+01 4.862E-07 4.862E-07 5.644E-18 0.00E+00
5.495E+01 4.979E-07 4.979E-07 5.902E-18 0.00E+00
5.433E+01 5.099E-07 5.099E-07 6.172E-18 0.00E+00
5.370E+01 5.224E-07 5.224E-07 6.454E-18 0.00E+00
5.309E+01 5.352E-07 5.352E-07 6.749E-18 0.00E+00
5.248E+01 5.485E-07 5.485E-07 7.058E-18 0.00E+00
5.188E+01 5.622E-07 5.622E-07 7.381E-18 0.00E+00
5.129E+01 5.764E-07 5.764E-07 7.719E-18 0.00E+00
5.070E+01 5.910E-07 5.910E-07 8.072E-18 0.00E+00
5.012E+01 6.062E-07 6.062E-07 8.442E-18 0.00E+00
4.955E+01 6.218E-07 6.218E-07 8.829E-18 0.00E+00
4.898E+01 6.381E-07 6.381E-07 9.234E-18 0.00E+00
4.842E+01 6.549E-07 6.549E-07 9.658E-18 0.00E+00
4.786E+01 6.723E-07 6.723E-07 1.010E-17 0.00E+00
4.732E+01 6.903E-07 6.903E-07 1.056E-17 0.00E+00
4.677E+01 7.089E-07 7.089E-07 1.105E-17 0.00E+00
4.624E+01 7.282E-07 7.282E-07 1.156E-17 0.00E+00
4.571E+01 7.482E-07 7.482E-07 1.209E-17 0.00E+00
4.519E+01 7.690E-07 7.690E-07 1.264E-17 0.00E+00
4.467E+01 7.905E-07 7.905E-07 1.323E-17 0.00E+00
4.416E+01 8.128E-07 8.128E-07 1.383E-17 0.00E+00
4.365E+01 8.359E-07 8.359E-07 1.447E-17 0.00E+00
4.315E+01 8.599E-07 8.599E-07 1.514E-17 0.00E+00
4.266E+01 8.848E-07 8.848E-07 1.583E-17 0.00E+00
4.217E+01 9.106E-07 9.106E-07 1.656E-17 0.00E+00
4.169E+01 9.373E-07 9.373E-07 1.733E-17 0.00E+00
4.121E+01 9.651E-07 9.651E-07 1.813E-17 0.00E+00
4.074E+01 9.938E-07 9.938E-07 1.896E-17 0.00E+00
4.027E+01 1.024E-06 1.024E-06 1.984E-17 0.00E+00
3.981E+01 1.055E-06 1.055E-06 2.075E-17 0.00E+00
3.936E+01 1.087E-06 1.087E-06 2.171E-17 0.00E+00
3.890E+01 1.120E-06 1.120E-06 2.271E-17 0.00E+00
3.846E+01 1.154E-06 1.154E-06 2.376E-17 0.00E+00
3.802E+01 1.190E-06 1.190E-06 2.486E-17 0.00E+00
3.758E+01 1.227E-06 1.227E-06 2.601E-17 0.00E+00
3.715E+01 1.265E-06 1.265E-06 2.721E-17 0.00E+00
3.673E+01 1.304E-06 1.304E-06 2.847E-17 0.00E+00
3.631E+01 1.345E-06 1.345E-06 2.979E-17 0.00E+00
3.589E+01 1.387E-06 1.387E-06 3.117E-17 0.00E+00
3.548E+01 1.431E-06 1.431E-06 3.262E-17 0.00E+00
3.508E+01 1.475E-06 1.475E-06 3.413E-17 0.00E+00
3.467E+01 1.521E-06 1.521E-06 3.571E-17 0.00E+00
3.428E+01 1.569E-06 1.569E-06 3.737E-17 0.00E+00
3.388E+01 1.617E-06 1.617E-06 3.910E-17 0.00E+00
3.350E+01 1.667E-06 1.667E-06 4.092E-17 0.00E+00
3.311E+01 1.717E-06 1.717E-06 4.282E-17 0.00E+00
3.273E+01 1.769E-06 1.769E-06 4.481E-17 0.00E+00
3.236E+01 1.821E-06 1.821E-06 4.689E-17 0.00E+00
